timestamp,event_type,file_path
Tue Jun  2 01:28:40 2026,CREATED,../data\New Text Document.txt
Tue Jun  2 01:28:44 2026,RENAMED,../data\love.txt
Tue Jun  2 01:28:50 2026,CREATED,../data\New Text Document.txt
Tue Jun  2 01:28:56 2026,RENAMED,../data\Happy is my ex.txt
Tue Jun  2 01:29:05 2026,DELETED,../data\love.txt
Tue Jun  2 01:29:42 2026,DELETED,../data\Happy is my ex.txt
Tue Jun  2 02:11:43 2026,CREATED,../data\New Text Document.txt,2
Tue Jun  2 02:11:49 2026,CREATED,../data\New Text Document (2).txt,4
Tue Jun  2 02:11:54 2026,CREATED,../data\New Text Document (3).txt,6
Tue Jun  2 02:11:59 2026,CREATED,../data\New Text Document (4).txt,8
Tue Jun  2 02:12:10 2026,CREATED,../data\New Text Document (3) - Copy.txt,10
Tue Jun  2 02:12:10 2026,MODIFIED,../data\New Text Document (3) - Copy.txt,15
Tue Jun  2 02:12:11 2026,CREATED,../data\New Text Document (4) - Copy.txt,17
Tue Jun  2 02:12:11 2026,MODIFIED,../data\New Text Document (4) - Copy.txt,22
Tue Jun  2 02:12:13 2026,CREATED,../data\New Text Document (5) - Copy.txt,24
Tue Jun  2 02:12:13 2026,MODIFIED,../data\New Text Document (5) - Copy.txt,29
Tue Jun  2 02:12:14 2026,CREATED,../data\New Text Document (6) - Copy.txt,31
Tue Jun  2 02:12:14 2026,MODIFIED,../data\New Text Document (6) - Copy.txt,36
Tue Jun  2 02:12:16 2026,CREATED,../data\New Text Document (7) - Copy.txt,38
Tue Jun  2 02:12:16 2026,MODIFIED,../data\New Text Document (7) - Copy.txt,43
Tue Jun  2 02:12:25 2026,CREATED,../data\New Text Document (8) - Copy.txt,45
Tue Jun  2 02:12:25 2026,MODIFIED,../data\New Text Document (8) - Copy.txt,50
Tue Jun  2 02:12:26 2026,CREATED,../data\New Text Document (9) - Copy.txt,52
Tue Jun  2 02:12:26 2026,MODIFIED,../data\New Text Document (9) - Copy.txt,57
Tue Jun  2 02:12:27 2026,CREATED,../data\New Text Document (10) - Copy.txt,59
Tue Jun  2 02:12:27 2026,MODIFIED,../data\New Text Document (10) - Copy.txt,64
Tue Jun  2 02:12:28 2026,CREATED,../data\New Text Document (11) - Copy.txt,66
Tue Jun  2 02:12:28 2026,MODIFIED,../data\New Text Document (11) - Copy.txt,71
Tue Jun  2 02:12:29 2026,CREATED,../data\New Text Document (12) - Copy.txt,73
Tue Jun  2 02:12:29 2026,MODIFIED,../data\New Text Document (12) - Copy.txt,78
Tue Jun  2 02:12:30 2026,CREATED,../data\New Text Document (13) - Copy.txt,80
Tue Jun  2 02:12:30 2026,MODIFIED,../data\New Text Document (13) - Copy.txt,85
Tue Jun  2 02:12:46 2026,RENAMED,../data\new me.txt,93
Tue Jun  2 02:12:53 2026,RENAMED,../data\ihashi.txt,101
Tue Jun  2 02:12:58 2026,DELETED,../data\New Text Document (3) - Copy.txt,111
Tue Jun  2 02:13:00 2026,DELETED,../data\New Text Document (6) - Copy.txt,121
